Time,Hour_of_Year,Hour_of_Day,Month,Temperature,Wind_Speed,Wind_Direction,DNI,DHI,GHI,Streamflow_m3_s,Base_Load_kW,Lighting_Plugs_kW,Induction_Range_kW,Total_Electrical_Load_kW,DHW_Demand_Liters
2023-01-01 00:00:00,1,0,1,8.3,3.0,353,190,14,21,0.031,0.37,0.62,2.46,3.46,11.7
2023-01-01 01:00:00,2,1,1,8.1,3.0,352,0,0,0,0.034,0.39,0.55,0.86,1.8,0.0
2023-01-01 02:00:00,3,2,1,8.0,3.0,349,0,0,0,0.033,0.39,0.43,1.11,1.93,8.5
2023-01-01 03:00:00,4,3,1,7.9,2.9000000000000004,349,0,0,0,0.031,0.36,0.27,0.0,0.63,0.0
2023-01-01 04:00:00,5,4,1,7.800000000000001,2.9000000000000004,352,0,0,0,0.031,0.38,0.11,0.0,0.49,0.0
2023-01-01 05:00:00,6,5,1,7.6,2.8000000000000003,354,0,0,0,0.042,0.4,0.04,0.0,0.44,0.0
2023-01-01 06:00:00,7,6,1,7.4,2.7,355,0,0,0,0.031,0.39,0.04,0.0,0.42,0.0
2023-01-01 07:00:00,8,7,1,7.2,2.7,356,0,0,0,0.029,0.37,0.1,0.0,0.47,0.0
2023-01-01 08:00:00,9,8,1,7.1000000000000005,2.6,357,0,0,0,0.038,0.39,0.04,0.0,0.44,0.0
2023-01-01 09:00:00,10,9,1,7.0,2.5,179,0,0,0,0.039,0.38,0.03,0.0,0.41,0.0
2023-01-01 10:00:00,11,10,1,6.9,2.4000000000000004,5,0,0,0,0.031,0.39,0.02,0.0,0.41,0.0
2023-01-01 11:00:00,12,11,1,6.9,2.3000000000000003,13,0,0,0,0.031,0.36,0.13,0.0,0.49,0.0
2023-01-01 12:00:00,13,12,1,6.7,2.1,24,0,0,0,0.029,0.35,0.23,0.0,0.58,0.0
2023-01-01 13:00:00,14,13,1,6.6000000000000005,1.9,38,0,0,0,0.029,0.37,0.34,0.0,0.71,0.0
2023-01-01 14:00:00,15,14,1,6.5,1.8,54,0,0,0,0.029,0.39,0.46,0.61,1.45,1.7
2023-01-01 15:00:00,16,15,1,6.300000000000001,1.6,69,0,0,0,0.033,0.38,0.35,0.81,1.55,38.4
2023-01-01 16:00:00,17,16,1,6.300000000000001,1.5,83,462,24,63,0.038,0.38,0.2,0.4,0.97,41.6
2023-01-01 17:00:00,18,17,1,6.5,1.5,94,702,42,192,0.03,0.39,0.07,0.0,0.46,0.0
2023-01-01 18:00:00,19,18,1,6.800000000000001,1.4,103,797,54,303,0.032,0.38,0.04,0.0,0.42,0.0
2023-01-01 19:00:00,20,19,1,7.2,1.4,109,848,57,372,0.037,0.36,0.1,0.0,0.47,0.0
2023-01-01 20:00:00,21,20,1,7.7,1.7000000000000002,108,276,189,296,0.03,0.4,0.13,0.0,0.53,0.0
2023-01-01 21:00:00,22,21,1,8.0,1.8,105,299,155,262,0.03,0.36,0.2,0.0,0.56,0.0
2023-01-01 22:00:00,23,22,1,7.9,1.6,104,193,128,183,0.033,0.35,0.45,0.0,0.81,0.0
2023-01-01 23:00:00,24,23,1,6.9,1.8,107,89,82,98,0.036,0.38,0.55,0.0,0.94,0.0
