Time,Hour_of_Year,Hour_of_Day,Month,Temperature,Wind_Speed,Wind_Direction,DNI,DHI,GHI,Precipitable_Water,Streamflow_m3_s,Base_Load_kW,Lighting_Plugs_kW,Induction_Range_kW,Total_Electrical_Load_kW,DHW_Demand_Liters
2024-01-01 00:00:00,1,0,1,,,,,,,,0.033,0.36,0.02,0.0,0.38,0.0
2024-01-01 01:00:00,2,1,1,,,,,,,,0.037,0.37,0.01,0.0,0.38,0.0
2024-01-01 02:00:00,3,2,1,,,,,,,,0.029,0.36,0.06,0.0,0.42,0.0
2024-01-01 03:00:00,4,3,1,,,,,,,,0.03,0.39,0.08,0.0,0.48,0.0
2024-01-01 04:00:00,5,4,1,,,,,,,,0.035,0.38,0.1,0.0,0.48,0.0
2024-01-01 05:00:00,6,5,1,,,,,,,,0.035,0.36,0.22,0.0,0.58,0.0
2024-01-01 06:00:00,7,6,1,,,,,,,,0.031,0.39,0.35,0.29,1.03,50.6
2024-01-01 07:00:00,8,7,1,,,,,,,,0.034,0.38,0.45,1.14,1.97,4.1
2024-01-01 08:00:00,9,8,1,,,,,,,,0.03,0.35,0.41,0.78,1.54,25.6
2024-01-01 09:00:00,10,9,1,,,,,,,,0.031,0.37,0.25,0.0,0.62,0.0
2024-01-01 10:00:00,11,10,1,,,,,,,,0.031,0.36,0.14,0.0,0.49,0.0
2024-01-01 11:00:00,12,11,1,,,,,,,,0.032,0.35,0.02,0.0,0.38,0.0
2024-01-01 12:00:00,13,12,1,,,,,,,,0.042,0.38,0.1,0.0,0.48,0.0
2024-01-01 13:00:00,14,13,1,,,,,,,,0.078,0.36,0.02,0.0,0.37,0.0
2024-01-01 14:00:00,15,14,1,,,,,,,,0.029,0.36,0.12,0.0,0.48,0.0
2024-01-01 15:00:00,16,15,1,,,,,,,,0.03,0.39,0.15,0.0,0.54,0.0
2024-01-01 16:00:00,17,16,1,,,,,,,,0.03,0.4,0.28,0.0,0.68,0.0
2024-01-01 17:00:00,18,17,1,,,,,,,,0.042,0.36,0.44,1.23,2.03,2.1
2024-01-01 18:00:00,19,18,1,,,,,,,,0.039,0.4,0.61,2.46,3.47,14.4
2024-01-01 19:00:00,20,19,1,,,,,,,,0.036,0.36,0.69,1.04,2.09,1.9
2024-01-01 20:00:00,21,20,1,,,,,,,,0.03,0.37,0.62,0.0,0.99,0.0
2024-01-01 21:00:00,22,21,1,,,,,,,,0.032,0.38,0.39,0.0,0.77,0.0
2024-01-01 22:00:00,23,22,1,,,,,,,,0.029,0.39,0.29,0.0,0.68,0.0
2024-01-01 23:00:00,24,23,1,,,,,,,,0.035,0.4,0.14,0.0,0.54,0.0
2024-01-02 00:00:00,25,0,1,,,,,,,,0.033,0.39,0.09,0.0,0.48,0.0
2024-01-02 01:00:00,26,1,1,,,,,,,,0.03,0.37,0.03,0.0,0.4,0.0
2024-01-02 02:00:00,27,2,1,,,,,,,,0.035,0.36,0.04,0.0,0.39,0.0
2024-01-02 03:00:00,28,3,1,,,,,,,,0.031,0.38,0.04,0.0,0.42,0.0
2024-01-02 04:00:00,29,4,1,,,,,,,,0.029,0.39,0.14,0.0,0.54,0.0
2024-01-02 05:00:00,30,5,1,,,,,,,,0.041,0.39,0.23,0.0,0.62,0.0
2024-01-02 06:00:00,31,6,1,,,,,,,,0.049,0.39,0.33,1.11,1.82,24.0
2024-01-02 07:00:00,32,7,1,,,,,,,,0.029,0.39,0.43,0.27,1.09,0.2
2024-01-02 08:00:00,33,8,1,,,,,,,,0.032,0.36,0.33,1.19,1.87,40.0
2024-01-02 09:00:00,34,9,1,,,,,,,,0.044,0.36,0.2,0.0,0.56,0.0
2024-01-02 10:00:00,35,10,1,,,,,,,,0.03,0.38,0.14,0.0,0.52,0.0
2024-01-02 11:00:00,36,11,1,,,,,,,,0.029,0.35,0.05,0.0,0.41,0.0
2024-01-02 12:00:00,37,12,1,,,,,,,,0.031,0.36,0.01,0.0,0.37,0.0
2024-01-02 13:00:00,38,13,1,,,,,,,,0.032,0.39,0.04,0.0,0.43,0.0
2024-01-02 14:00:00,39,14,1,,,,,,,,0.041,0.35,0.1,0.0,0.45,0.0
2024-01-02 15:00:00,40,15,1,,,,,,,,0.068,0.36,0.13,0.0,0.49,0.0
2024-01-02 16:00:00,41,16,1,,,,,,,,0.035,0.39,0.27,0.0,0.66,0.0
2024-01-02 17:00:00,42,17,1,,,,,,,,0.029,0.4,0.44,0.66,1.49,11.1
2024-01-02 18:00:00,43,18,1,,,,,,,,0.033,0.36,0.61,1.66,2.64,21.2
